cell_id	gene_0	gene_1
cell_0	0.18181649869773864	1.4140144283869163
cell_1	-0.7142233443509565	0.8543626823450394
cell_2	-0.05978819207581898	0.07074355345729216
cell_3	-0.5699602694331325	-1.2922169689176104
cell_4	-0.497056939926878	0.3243532911976269
cell_5	-0.6690561344123419	0.8002413241101682
cell_6	-0.08549382394469529	0.1586838765512325
cell_7	-0.11487620365081574	0.8871346108802587
cell_8	0.5317212274587588	-0.6006211078475505
cell_9	-1.139421363780742	0.5591559659651415
cell_10	-0.18644929563141094	0.5365309928728714
cell_11	0.9782470880965086	-0.42417578896852826
cell_12	-0.4580050472201158	0.49103670256539667
cell_13	-0.32568786484116674	0.21577748165539634
cell_14	-0.4213267984836969	0.258293242442141
cell_15	-1.337592729252965	-2.0967365233617072
cell_16	-0.40839327720393254	0.1376290611467782
cell_17	-0.7083113890185286	0.7534810959129641
cell_18	-0.3636315279911501	0.41736217026281686
cell_19	0.047933305077836996	0.859617533472931
cell_20	-1.032196730130012	-2.689332776723062
cell_21	-0.4669771443092508	0.6257263954567751
cell_22	-1.028414548299515	0.7008475217213543
cell_23	-0.5201559643000678	0.9256694981945189
cell_24	-0.5103750604066377	-1.3957810533101238
cell_25	-0.30603004168073944	-1.3860501745170466
cell_26	-0.36155449547901697	-0.20886585953120868
cell_27	-0.42436733185622055	-2.1561085632886017
cell_28	-0.9357463370161243	-1.8465685318785365
cell_29	1.3119399308968078	-0.6806753114476312
cell_30	-0.9366790016828481	0.882013268181169
cell_31	-0.37577199456085314	0.7447424668193279
cell_32	-0.5260228354646894	-0.8142422605425159
cell_33	-0.29032070270802945	1.3580854125642936
cell_34	-0.9475965327849412	-0.2055710574642945
cell_35	-2.364508193054866	1.607956274905734
cell_36	-0.9892314257660506	-1.1955338381607081
cell_37	-0.6196707906606356	0.5470974096348177
cell_38	0.6468908189593159	-0.2500557535732335
cell_39	-1.189704786879229	0.4709500584384698
cell_40	-0.3617941190037316	1.6100457388949976
cell_41	-1.4451961112244307	0.9322791027196471
cell_42	-0.27540173058416006	0.48075963578192754
cell_43	1.1788503569854745	-0.42709233620602616
cell_44	-0.8875689183517396	-1.467530671740937
cell_45	-0.4585567742137409	0.4980929034300832
cell_46	-0.6993862113723887	-2.4775546307163436
cell_47	-1.1546922472495078	-1.1714241666637806
cell_48	-0.08271117035558972	-1.2790971736954795
cell_49	0.339637875574337	0.6672516601547398
cell_50	-0.039959444827207535	0.5568965581674207
cell_51	-0.18329514492955257	0.3188374579912838
